tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g/g_1/g_2/g_3/g_5/path_25,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.0,0.031250000000000014,0.9413209026383108,1.0,0.0,0.5315589236449838,0.03125000000000001,0.05867909736168948,0.0
svg/g/g_1/g_2/g_3/g_5/path_24,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.5468750000000001,0.5781250000000001,0.38747607210293555,1.0,0.8213527695022227,0.5752235041365265,0.031249999999999993,0.6125239278970648,0.0
svg/g/g_1/g_2/g_3/g_5/path_23,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.3125,0.34375,0.2375405931968141,1.0,0.627175258287678,0.7823380855351867,0.031249999999999993,0.762459406803186,0.0
svg/g/g_1/g_2/g_3/g_5/path_22,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.703125,0.7343750000000001,0.9409082658643918,1.0,0.7334689906379229,0.17230980383136402,0.031250000000000056,0.05909173413560831,0.0
svg/g/g_1/g_2/g_3/g_5/path_21,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.8593750000000001,0.890625,0.7085289440973414,1.0,1.0,0.2247573966977336,0.031249999999999927,0.29147105590265876,0.0
svg/g/g_1/g_2/g_3/g_5/path_20,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.15625000000000003,0.18750000000000006,0.0,1.0,0.5837226858287258,1.0,0.03125000000000002,1.0000000000000002,0.0
svg/g/g_1/g_2/g_3/g_5/path_19,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.07812500000000001,0.10937500000000004,0.08543080939560409,1.0,0.4323951577060909,0.9857850746821483,0.03125000000000002,0.9145691906043961,0.0
svg/g/g_1/g_2/g_3/g_5/path_18,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.7812500000000001,0.8125000000000002,0.8204226211591892,1.0,0.8695332616971607,0.20182085463947702,0.031250000000000056,0.17957737884081099,0.0
svg/g/g_1/g_2/g_3/g_5/path_17,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.6250000000000001,0.65625,0.7984036726586986,1.0,0.7180821027847626,0.29585642196821355,0.031249999999999927,0.20159632734130142,0.0
svg/g/g_1/g_2/g_3/g_5/path_16,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.9375,0.9687500000000001,0.9803063823793231,1.0,0.948022216132499,0.021419249038704607,0.031250000000000056,0.019693617620676975,0.0
svg/g/g_1/g_2/g_3/g_5/path_15,0.75,1.0,0.07279029772675538,0.24020802498228377,0.3770491803278688,0.4784313725490195,0.0,0.0,0.0,0.0,0.0,0.46875,0.5,0.989422907825607,1.0,0.466426866909289,0.26184822831120524,0.031249999999999993,0.010577092174392944,0.0
