tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_11/g_17/path_27,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014325248250040694,0.4706169623962234,0.385587431693989,0.6909153005464482,0.2407626512572405,0.6249394359617578,0.4562917141461827,0.3053278688524591,0.7380672704110208
svg/g_11/g_16/path_26,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15122904118508881,0.4658961419501874,0.033811475409836034,0.5382513661202185,0.3428779270965306,0.2338140925485379,0.3146671007650986,0.5044398907103824,0.7483451454384858
svg/g_11/path_25,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19176298225622662,0.4798497267759563,0.9033469945355191,0.060705859600098264,0.7085893771410828,0.19176298225622662,0.4234972677595628,0.7080303693753704
svg/g_11/path_24,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05567312388083999,0.2593195507081231,0.0625,0.9631147540983607,0.12600948540446197,0.4375946776868282,0.2036464268272831,0.9006147540983606,0.7755828177100176
svg/g_11/path_23,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022790167670519293,0.3016441478105161,0.026980874316939872,0.5758196721311476,0.18214878466432446,0.23823224025013356,0.2788539801399968,0.5488387978142076,0.6907287988377722
svg/g_11/g_15/path_22,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03744098974442455,0.4461989256063814,0.601775956284153,0.796106557377049,0.22240895620269333,0.799060765321921,0.40875793586195686,0.1943306010928961,0.6735234197558511
svg/g_11/path_21,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04069672798307014,0.2684356177763308,0.2667349726775956,0.9829234972677595,0.11874831359306819,0.5820653026390384,0.22773888979326065,0.7161885245901639,0.6221439363744239
svg/g_11/path_20,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2223669216994954,0.355526615660101,0.04713114754098361,0.9743852459016393,0.26969304870955846,0.443207801959127,0.1331596939606056,0.9272540983606558,0.7078189509123515
svg/g_11/path_19,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19697216343805957,0.4554777795865213,0.10484972677595628,0.9426229508196721,0.32479436383436333,0.4867515173114177,0.2585056161484617,0.8377732240437159,0.7706737645193238
svg/g_11/g_14/path_18,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071463454338273,0.8526778447012858,0.030054644808742953,0.9873633879781419,0.8534708312926561,0.5598308350522555,0.14553149926745867,0.957308743169399,0.7380664778258871
svg/g_11/g_13/path_17,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394758261435784,0.779912095067557,0.3172814207650273,0.9774590163934426,0.6600940025213703,0.686320930496584,0.2404362689239786,0.6601775956284152,0.7483451454384925
svg/g_11/path_16,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7520755331271367,0.9539313039231646,0.0,0.4023224043715847,0.9197812525875211,0.20023020084647652,0.201855770796028,0.4023224043715847,0.7080303693753704
svg/g_11/path_15,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5531499267458897,0.9824190135113138,0.1168032786885246,0.5440573770491803,0.8142889789109543,0.3263481062651928,0.4292690867654242,0.4272540983606557,0.7755828177100167
svg/g_11/path_14,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362200879049326,0.7978186553801077,0.04781420765027322,0.6328551912568307,0.7022726550626586,0.3517822115653702,0.26159856747517507,0.5850409836065573,0.6906929315758619
svg/g_11/g_12/path_13,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.810190460686961,0.9028162135764287,0.07855191256830601,0.936133879781421,0.930227578818659,0.5671380172958077,0.09262575288946784,0.857581967213115,0.6735234197558511
svg/g_11/path_12,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6503337131694612,0.991860654403386,0.0853825136612022,0.5631830601092896,0.8692464957429558,0.3362898428584005,0.34152694123392485,0.47780054644808734,0.6221903877181614
svg/g_11/path_11,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5458245157089371,0.9877909816050789,0.4665300546448088,0.7459016393442622,0.7904357363397675,0.7204271233227666,0.44196646589614197,0.2793715846994535,0.7078189509123515
svg/g_11/path_10,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5733355038254925,0.9726517987953769,0.4129098360655738,0.9556010928961749,0.7736662235413602,0.7776584597395326,0.3993162949698846,0.542691256830601,0.7705470268027497
svg/g/path_9,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2518313527592382,0.4370828585381736,0.7544398907103825,0.9996584699453551,0.31386608303846264,0.9657576838828134,0.18525150577893537,0.24521857923497262,0.6194269532605117
svg/g/path_8,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355526615660101,0.4766400781377178,0.0898224043715847,0.762636612021858,0.4382889270874581,0.4101084068395994,0.12111346247761677,0.6728142076502732,0.661157308352545
svg/g/path_7,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006348689565358943,0.06251017418199575,0.24009562841530052,0.7175546448087432,0.0,0.44134513269374265,0.056161484616636816,0.4774590163934426,0.6255265210177722
svg/g/path_6,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03320853003418524,0.24271528569103049,0.71448087431694,1.0,0.09260051518374035,0.9140027250355524,0.20950675565684523,0.2855191256830601,0.6320930639732263
svg/g/path_5,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04899886049161647,0.35894514081067885,0.012978142076502735,0.24965846994535515,0.22096944855725476,0.03430142977127529,0.3099462803190624,0.23668032786885243,0.6574110285524953
svg/g/path_4,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827934234087579,0.9996744261761353,0.528346994535519,0.9170081967213114,0.9646544623008576,0.8403133685815878,0.11688100276737744,0.3886612021857923,0.6194269532605117
svg/g/path_3,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661728797004721,0.8868630962070649,0.7459016393442622,1.0,0.707964269484219,1.0,0.3206902165065929,0.2540983606557377,0.6611573083525322
svg/g/path_2,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6377991209506756,0.865375223832004,0.013319672131147542,0.13114754098360656,0.8290962693817246,0.0,0.22757610288132846,0.11782786885245901,0.625450542168865
svg/g/path_1,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8639101416246133,1.0,0.06967213114754096,0.5092213114754099,1.0,0.3101552664489153,0.13608985837538667,0.4395491803278689,0.6320930639732172
svg/g/path,0.75,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529545824515709,0.6423571544847795,0.10280054644808742,0.7530737704918032,0.6091156824777515,0.43868266393046157,0.11281132996907052,0.6502732240437158,0.6574110285524953
